idx,ts,shooter,tv,av,sa,team0_house,team1_house,team0_score,team1_score
129,2026-02-25T17:00:06.668,team0,2.4194518883122065,1.5707963267948966,1.5731206761342524,0,0,,
130,2026-02-25T17:00:06.703,team1,2.4026541006520556,15.707963267948966,0.054861172273110624,0,0,,
131,2026-02-25T17:00:06.771,team0,2.424603597139463,1.5707963267948966,1.5717363774728277,0,0,,
132,2026-02-25T17:00:06.807,team1,2.4070903294366937,15.707963267948966,0.05620977663135318,0,0,,
133,2026-02-25T17:00:06.884,team0,2.422609404902342,1.5707963267948966,1.5686913053423732,0,0,,
134,2026-02-25T17:00:06.939,team1,2.3823648250685476,15.707963267948966,0.056079503880905775,0,0,,
135,2026-02-25T17:00:07.028,team0,2.435187875258474,1.5707963267948966,1.5714726908735515,0,0,,
136,2026-02-25T17:00:07.074,team1,2.4188256956197094,15.707963267948966,0.05557175894651554,0,0,,
137,2026-02-25T17:00:07.192,team0,2.414369744798164,1.5707963267948966,1.5702449095663389,0,0,,
138,2026-02-25T17:00:07.227,team1,2.402074807988841,15.707963267948966,0.05262096070605623,0,0,,
139,2026-02-25T17:00:07.302,team0,2.425101722807845,1.5707963267948966,1.5726459618874344,0,0,,
140,2026-02-25T17:00:07.341,team1,2.4082318360691883,15.707963267948966,0.09479685963645938,0,0,,
141,2026-02-25T17:00:07.420,team0,2.325521047147836,1.5707963267948966,1.5712051213209377,0,0,,
142,2026-02-25T17:00:07.457,team1,2.3924727554672174,15.707963267948966,0.09514244996185478,0,0,,
143,2026-02-25T17:00:07.523,unknown,2.419968342203523,1.5707963267948966,1.5685980916733147,0,0,,
144,2026-02-25T17:00:07.565,team1,2.415595888189092,15.707963267948966,0.05461183946403698,0,0,,
145,2026-02-25T17:00:07.634,team0,2.4292157626982767,1.5707963267948966,1.5706145089497112,0,0,,
146,2026-02-25T17:00:07.668,team1,2.4004695851665607,15.707963267948966,0.05664806442147175,0,0,,
147,2026-02-25T17:00:07.733,team0,2.419365711333787,1.5707963267948966,1.5714745529668195,0,0,,
148,2026-02-25T17:00:07.766,team1,2.410172119059844,15.707963267948966,0.05231153824637239,0,0,,
149,2026-02-25T17:00:07.841,team0,2.4196282066354518,1.5707963267948966,1.5700439048135884,0,0,,
150,2026-02-25T17:00:07.885,team1,2.402263327864819,15.707963267948966,0.05401252350186945,0,0,,
151,2026-02-25T17:00:07.950,team0,2.418535788980803,1.5707963267948966,1.5708786338468306,0,0,,
152,2026-02-25T17:00:07.983,team1,2.42182873660261,15.707963267948966,0.05269519443505045,0,0,,
153,2026-02-25T17:00:08.058,team0,2.4246697265610613,1.5707963267948966,1.5673083187532233,0,0,,
154,2026-02-25T17:00:08.094,team1,2.404574159003605,15.707963267948966,0.05289413334337655,0,0,,
155,2026-02-25T17:00:08.163,team0,2.421914090000623,1.5707963267948966,1.5721382998589746,0,0,,
156,2026-02-25T17:00:08.197,team1,2.410533485640437,15.707963267948966,0.05182457826435708,0,0,,
157,2026-02-25T17:00:08.265,team0,2.425624206379796,1.5707963267948966,1.5725618697724222,0,0,,
158,2026-02-25T17:00:08.299,team1,2.4013562601640697,15.707963267948966,0.05266619864049377,0,0,,
159,2026-02-25T17:00:08.376,unknown,2.421704108579944,1.5707963267948966,1.5724137173920532,0,0,,
